id,text,Sentiment,Label
1.34E+18,The agency also released new information for health care providers and for patients as the US shipped millions of d,Positive,0
1.34E+18,The US Food and Drug Administration FDA has granted emergency use authorization to PfizerBioNTechs mRNA,Positive,0
1.34E+18,Ive never been so excited to get a vaccine CovidVaccine PfizerBioNTech VaccinesSaveLives VaccinesWork,Positive,0
1.34E+18,UgurSahin ozlemtureci the Muslim Scientists HusbandWife are saving the world with their PfizerBioNTech,Positive,0
1.34E+18,Toronto to receive Ontarios 1st doses of Pfizer COVID19 vaccine today Ontario,Positive,0
1.34E+18,Singapore Approves Pfizer COVID19 Vaccine First Shipment Expected by End of December Says PM Lee Hsien Loong,Positive,0
1.34E+18,More approvals to PfizerBioNTech vaccine Singapore approves CovidVaccine expects first shots by Decemb,Positive,0
1.34E+18,Pfizervaccine is unlikely to be available in India for mass distribution Read to find out why PfizerBioNTech,Negative,1
1.34E+18,PfizerBioNTech COVID19 Vaccine Donald Trump Mike Pence amp Top US Officials to be Offered Early Access to Newly A,Positive,0
1.34E+18,HarHarMahadev First batch of doses of Pfizer BioNTech vaccines are in Canada YAY many congratulations,Positive,0
1.34E+18,With numbers likely to get worse over the holidays the vaccine is offering a bright spot in the fight against the,Positive,0
1.34E+18,I pucking do not intend to get vaccinated Wht if my employer force to get vaccinated Like they did for Arogya Set,Negative,1
1.34E+18,US States To Start Getting PfizerBioNTech Covid19 Vaccine From Monday kalingatv Pfizervaccine,Positive,0
1.34E+18,Corona Pfizer vaccine approved for use in US on emergency basis Pfizervaccine US FDA PfizerBioNTech COVID19,Positive,0
1.34E+18,UPS FedEx Collaborate to Ship PfizerBioNTech COVID19 Vaccines in US UPS FedEx,Positive,0
1.34E+18,AstraZeneca to buy pharmaceutical firm Alexion for 39 billion COVID19vaccine Pfizer,Positive,0
1.34E+18,PfizerBioNTech COVID19 Vaccine Side Effects Canada Warns Allergic People Against PfizerBioNTech Coronavirus Vac,Negative,1
1.34E+18,COVID19 Vaccine Update Initial Doses of Pfizer Coronavirus Vaccine in US to Begin from Tomorrow,Positive,0
1.34E+18,UnitedStates The Federal Aviation Administration FAA said Saturday it had approved the use of the,Positive,0
1.34E+18,UnitedStates The Federal Aviation Administration FAA said Saturday it had approved the use of the,Positive,0
1.34E+18,Heard drdavidnabarro of WHO just now on I dont think I can allow my parents or my family to take vac,Negative,1
1.34E+18,if the new vaccine is similar to Pfizervaccine how can a normal cold chain suffice Looks like Pfizer an,Negative,1
1.34E+18,Now Bhakts all around the world should also boycott COVID19Vaccine developed by PfizerBioNTech,Negative,1
1.34E+18,Victory day for science US Canada start mass COVID19 vaccination drive CoronavirusVaccine,Positive,0
1.34E+18,I scheduled my COVID19 vaccine today cardiotwitter when is yours PfizerBioNTech Pfizervaccine,Positive,0
1.34E+18,BREAKING PfizerBioNTech COVID19 vaccine provokes serious allergic reaction in USA,Negative,1
1.34E+18,COVID19 Vaccine China Secures Deal for 100 Million PfizerBioNTech Doses as Domestic Drugmakers Yet to Attain App,Positive,0
1.34E+18,Canada Alberta plans to send COVID19 teams to hardhit areas in Edmonton Calgary Indiablooms First Portal on,Positive,0
1.34E+18,SCAMDEMIC2020 Vaccine hustlePfizerBioNTech in bed with CCP spies,Negative,1
1.34E+18,Better Trials of vaccines may begin on Politicians as theyre Our JAN PRATINIDHI à¤œà¤¨ à¤ªà¤°à¤¤à¤¨à¤§ Wh,Negative,1
1.34E+18,Greatest vaccination campaign in US history begins nurse given first dose of covid vaccine COVID19vaccine,Positive,0
1.34E+18,Photos Public Reaction To PfizerBioNTech COVID19 Vaccine covid Covid_19 CovidVaccine COVID19Vaccine,Positive,0
1.34E+18,WHO caution civilian of mutations of covid19 virus Pfizer COVID19Vaccine COVIDSecondWave PfizerBioNTech,Positive,0
1.34E+18,A healthcareworker in the US suffered an allergic reaction after receiving Pfizers Covid19 vaccine,Negative,1
1.34E+18,US Vice President and his wife will publicly receive a Covid19 vaccine on Friday to promot,Positive,0
1.34E+18,Veteran star has received the first dose of the Covid19 vaccine and says he is feeling euphoric abou,Positive,0
1.34E+18,Is Pfizervaccine safe Alaska medicos suffer severe allergic reaction after jab Pfizer PfizerBioNTech,Negative,1
1.34E+18,US COVID19 Vaccination Programme Health Worker Suffers Severe Allergic Reaction Minutes After Getting PfizerBioN,Negative,1
1.34E+18,Safety Questions on Pfizer Vaccine Raised After Alaskan Suffers Serious Allergic Reaction Minutes After Taking Dose,Negative,1
1.34E+18,An Alaskan health worker suffered a serious allergic reaction after getting PfizerBioNTechs coronavirus vaccine,Negative,1
1.34E+18,Saudi Arabia Starts the Inoculation Process by Importing Two Shipments of the Vaccine coronavaccine covid19,Positive,0
1.34E+18,COVID19 Vaccine Can Turn People Into Crocodiles Brazilian President CovidVaccine,Negative,1
1.34E+18,Yes FauciHero is talking about the sweetness of the kickbacks from PfizerBioNTech and other pharma companie,Negative,1
1.34E+18,I have seen many vaccine videos so far But havent seen anyone aspirating before injecting Isnt there a sm,Negative,1
1.34E+18,Health Canada FDA closely watching for any adverse reactions of Pfizer vaccine,Positive,0
1.34E+18,US Vice President and his wife received their shots Friday morning in an office suite in th,Positive,0
1.34E+18,Our challenge now is to ensure that vaccines are treated as a public good accessible and affordable to everyone,Positive,0
1.34E+18,The video shows HealthcareWorkers dancing to American singer Lizzos song GoodAsHell to celebrate the,Positive,0
1.34E+18,Biden tells Americans theres nothing to worry about,Positive,0
1.34E+18,So much for equity and equitable distribution of the vaccine all over the world Seems people in the dev,Negative,1
1.34E+18,Ecstatic amp grateful that I GotTheShot Dose 1 of the PfizerBioNTech vaccine today This is for all the the sci,Positive,0
1.34E+18,Sahin the child of a car factory worker was introduced to it from science books TÃ¼reci grew up watching her sur,Positive,0
1.34E+18,Leading medial experts have said that existing vaccines for COVID19 will be effective in fighting off infection fr,Positive,0
1.34E+18,Is Pfizers COVID vaccine mfgd in China Can someone help me about this Pfizervaccine PfizerBioNTech,Positive,0
1.34E+18,The PfizerBioNTech and Moderna vaccines induce an immune response only to the spike protein carried by the co,Positive,0
1.34E+18,ICYMI Im feeling dizzy US nurse faints after getting Pfizer COVID vaccine shot A nurse at a Tennessee hospita,Negative,1
1.34E+18,An image has been shared alongside a claim it shows three of four clinical trial volunteers who have developed Bell,Negative,1
1.34E+18,Did US nurse faint after getting PfizerBioNTechs COVID19 vaccine shot COVID19Vaccine PfizerBioNTech,Negative,1
1.34E+18,Im feeling dizzy US nurse faints after getting Pfizer COVID vaccine shot A nurse at a Tennessee hospital faint,Negative,1
1.34E+18,Watch Nurse Faints After Getting PfizerBioNTechs Covid19 Vaccine In US Pfizervaccine PfizerBioNTech,Negative,1
1.34E+18,Pfizer vaccine causing more allergic reactions than expected coronavirus,Negative,1
1.34E+18,Please Bring vaccine to India ASAP I have to go out otherwise Ill go mad PfizerBioNTech Pfizervaccine,Positive,0
1.34E+18,COVID19 Vaccination in UK Over 600000 Citizens Receive First Dose of PfizerBioNTech Vaccine,Positive,0
1.34E+18,First dose yesterday PfizerBioNTech Pfizervaccine,Positive,0
1.34E+18,Isnt bureaucracy stopping immediate CovidVaccine deployment in India The preparations being done right now s,Negative,1
1.34E+18,Emirates SkyCargo has notched yet another milestone by flying in Covid_19 vaccines manufactured by,Positive,0
1.34E+18,Only 1 million shots of the PfizerBioNTech COVID19 vaccine had been given so far in US states putting,Positive,0
